Classifier,Train-Test Accuracy,Cross-Validation Accuracy
SGDClassifier,0.882201203783319,0.8850122850122851
RandomForestClassifier,0.9286328460877042,0.9184275184275185
MLPClassifier,0.8936658068214388,0.8949631449631449
