Model,Accuracy,Precision,Recall,F1-Score
DecisionTree,0.6027102,0.614885,0.6027102,0.6028151
RandomForest,0.9947644,0.9947654,0.9947644,0.9947631
GradientBoosting,0.9890668,0.9890639,0.9890668,0.9890631
SVM,0.9034493,0.9041694,0.9034493,0.9031552
LogisticRegression,0.5369572,0.5336616,0.5369572,0.5322363
