Model,Accuracy,Precision,Recall,F1-Score
DecisionTree,0.6091347,0.6128413,0.6091347,0.6088072
RandomForest,0.9933338,0.9933326,0.9933338,0.9933319
GradientBoosting,0.9884496,0.9884524,0.9884496,0.9884457
SVM,0.8924823,0.8937053,0.8924823,0.8919098
LogisticRegression,0.5317801,0.526083,0.5317801,0.5250943
