Model,Accuracy,CrossValMean
SVM (Train-Test Split),0.9113573407202216,0.891966966966967
Tuned SVM (Train-Test Split),0.9307479224376731,0.9113363363363363
Tuned SVM with Top 10 Features,0.9224376731301939,0.9168918918918918
Tuned SVM with PCA,0.8975069252077562,0.891966966966967
