Model,Accuracy,CrossValMean
SGD (Train-Test Split),0.7867036011080333,0.8696696696696696
Random Forest (Train-Test Split),0.8975069252077562,0.8947447447447446
MLP (Train-Test Split),0.9362880886426593,0.8918918918918918
